record_id,redcap_event_name,food_ratings___1,food_ratings___2,food_ratings___3,food_ratings___4,food_ratings___5,food_ratings___6,food_ratings___7,food_ratings___8,food_ratings___9,food_ratings___10,food_ratings___11,food_ratings___12,food_ratings___13
1,prescreening_arm_1,,,,,,,,,,,,,
1,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,session_1_arm_1,,,,,,,,,,,,,
1,intervention_arm_1,,,,,,,,,,,,,
1,session_2_arm_1,,,,,,,,,,,,,
1,session_3_arm_1,,,,,,,,,,,,,
1,session_4_arm_1,,,,,,,,,,,,,
1,session_5_arm_1,,,,,,,,,,,,,
2,prescreening_arm_1,,,,,,,,,,,,,
2,session_0_arm_1,0,0,0,0,1,1,0,1,0,0,0,0,0
2,session_1_arm_1,,,,,,,,,,,,,
2,session_2_arm_1,,,,,,,,,,,,,
2,session_3_arm_1,,,,,,,,,,,,,
2,session_4_arm_1,,,,,,,,,,,,,
2,session_5_arm_1,,,,,,,,,,,,,
4,prescreening_arm_1,,,,,,,,,,,,,
5,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,prescreening_arm_1,,,,,,,,,,,,,
18,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,session_1_arm_1,,,,,,,,,,,,,
18,intervention_arm_1,,,,,,,,,,,,,
18,session_2_arm_1,,,,,,,,,,,,,
18,session_3_arm_1,,,,,,,,,,,,,
18,session_4_arm_1,,,,,,,,,,,,,
18,session_5_arm_1,,,,,,,,,,,,,
19,prescreening_arm_1,,,,,,,,,,,,,
19,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,session_1_arm_1,,,,,,,,,,,,,
20,prescreening_arm_1,,,,,,,,,,,,,
20,session_0_arm_1,0,0,0,0,1,1,0,0,0,0,1,0,0
20,session_1_arm_1,,,,,,,,,,,,,
20,intervention_arm_1,,,,,,,,,,,,,
20,session_2_arm_1,,,,,,,,,,,,,
20,session_3_arm_1,,,,,,,,,,,,,
20,session_4_arm_1,,,,,,,,,,,,,
21,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,prescreening_arm_1,,,,,,,,,,,,,
22,session_0_arm_1,0,0,0,0,1,1,1,0,0,0,0,0,0
22,session_1_arm_1,,,,,,,,,,,,,
22,intervention_arm_1,,,,,,,,,,,,,
22,session_2_arm_1,,,,,,,,,,,,,
22,session_3_arm_1,,,,,,,,,,,,,
22,session_4_arm_1,,,,,,,,,,,,,
22,session_5_arm_1,,,,,,,,,,,,,
23,prescreening_arm_1,,,,,,,,,,,,,
23,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,session_1_arm_1,,,,,,,,,,,,,
23,intervention_arm_1,,,,,,,,,,,,,
24,prescreening_arm_1,,,,,,,,,,,,,
24,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,prescreening_arm_1,,,,,,,,,,,,,
25,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,prescreening_arm_1,,,,,,,,,,,,,
26,session_0_arm_1,0,0,0,0,1,1,1,0,0,0,0,0,0
26,session_1_arm_1,,,,,,,,,,,,,
26,intervention_arm_1,,,,,,,,,,,,,
26,session_2_arm_1,,,,,,,,,,,,,
27,prescreening_arm_1,,,,,,,,,,,,,
27,session_0_arm_1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,session_1_arm_1,,,,,,,,,,,,,
28,prescreening_arm_1,,,,,,,,,,,,,
28,session_0_arm_1,1,0,0,0,0,1,0,0,0,0,1,0,0
29,prescreening_arm_1,,,,,,,,,,,,,
29,session_0_arm_1,0,0,0,0,0,1,0,0,1,0,1,0,0
29,session_1_arm_1,,,,,,,,,,,,,
29,intervention_arm_1,,,,,,,,,,,,,
