"Record ID","Event Name","Food Category Ratings (Top 3) (choice=Chocolate)","Food Category Ratings (Top 3) (choice=Cookies)","Food Category Ratings (Top 3) (choice=Donuts)","Food Category Ratings (Top 3) (choice=Ice Cream)","Food Category Ratings (Top 3) (choice=Non-chocolate candy)","Food Category Ratings (Top 3) (choice=Fries)","Food Category Ratings (Top 3) (choice=Pizza)","Food Category Ratings (Top 3) (choice=Fast Food)","Food Category Ratings (Top 3) (choice=Processed Meats)","Food Category Ratings (Top 3) (choice=Barbeque)","Food Category Ratings (Top 3) (choice=Salty Snacks)","Food Category Ratings (Top 3) (choice=Soft Drinks)","Food Category Ratings (Top 3) (choice=Unhealthy Pastas)"
1,Pre-Screening,,,,,,,,,,,,,
1,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
1,"Session 1",,,,,,,,,,,,,
1,Intervention,,,,,,,,,,,,,
1,"Session 2",,,,,,,,,,,,,
1,"Session 3",,,,,,,,,,,,,
1,"Session 4",,,,,,,,,,,,,
1,"Session 5",,,,,,,,,,,,,
2,Pre-Screening,,,,,,,,,,,,,
2,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
2,"Session 1",,,,,,,,,,,,,
2,"Session 2",,,,,,,,,,,,,
2,"Session 3",,,,,,,,,,,,,
2,"Session 4",,,,,,,,,,,,,
2,"Session 5",,,,,,,,,,,,,
4,Pre-Screening,,,,,,,,,,,,,
5,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
18,Pre-Screening,,,,,,,,,,,,,
18,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
18,"Session 1",,,,,,,,,,,,,
18,Intervention,,,,,,,,,,,,,
18,"Session 2",,,,,,,,,,,,,
18,"Session 3",,,,,,,,,,,,,
18,"Session 4",,,,,,,,,,,,,
18,"Session 5",,,,,,,,,,,,,
19,Pre-Screening,,,,,,,,,,,,,
19,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
19,"Session 1",,,,,,,,,,,,,
20,Pre-Screening,,,,,,,,,,,,,
20,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked
20,"Session 1",,,,,,,,,,,,,
20,Intervention,,,,,,,,,,,,,
20,"Session 2",,,,,,,,,,,,,
20,"Session 3",,,,,,,,,,,,,
20,"Session 4",,,,,,,,,,,,,
21,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
22,Pre-Screening,,,,,,,,,,,,,
22,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
22,"Session 1",,,,,,,,,,,,,
22,Intervention,,,,,,,,,,,,,
22,"Session 2",,,,,,,,,,,,,
22,"Session 3",,,,,,,,,,,,,
22,"Session 4",,,,,,,,,,,,,
22,"Session 5",,,,,,,,,,,,,
23,Pre-Screening,,,,,,,,,,,,,
23,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
23,"Session 1",,,,,,,,,,,,,
23,Intervention,,,,,,,,,,,,,
24,Pre-Screening,,,,,,,,,,,,,
24,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
25,Pre-Screening,,,,,,,,,,,,,
25,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
26,Pre-Screening,,,,,,,,,,,,,
26,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
26,"Session 1",,,,,,,,,,,,,
26,Intervention,,,,,,,,,,,,,
26,"Session 2",,,,,,,,,,,,,
27,Pre-Screening,,,,,,,,,,,,,
27,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked
27,"Session 1",,,,,,,,,,,,,
28,Pre-Screening,,,,,,,,,,,,,
28,"Session 0",Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked
29,Pre-Screening,,,,,,,,,,,,,
29,"Session 0",Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked
29,"Session 1",,,,,,,,,,,,,
29,Intervention,,,,,,,,,,,,,
